n,N_points,time_s,iterations,final_residual
16,289,0.0706,4,4.886984e-02
32,1089,0.2909,4,5.671232e-02
64,4225,1.1647,4,5.952740e-02
128,16641,4.8491,4,6.068918e-02
256,66049,19.2409,4,6.114720e-02
512,263169,77.0090,4,6.124777e-02
1024,1050625,311.8027,4,6.127642e-02
